ID,CODELESSON,LESSON,VALUELESSON
100636,1230800,Help Desk Operator,4
100654,100200,Sales Associate,1
100663,105200,Sales Representative,3
100672,574900,Sales Associate,3
100690,2503400,Assistant Professor,2
100706,105500,GIS Technical Architect,3
100724,100500,Community Outreach Specialist,4
100751,105100,Research Associate,2
100760,100700,Paralegal,2
100812,100800,Budget/Accounting Analyst II,2
100830,831000,Sales Associate,4
100858,100900,Media Manager IV,4
100919,570400,Web Designer II,3
100937,101200,Systems Administrator III,4
100964,573301,Statistician I,2
101019,2319500,Database Administrator I,1
101028,1218200,Systems Administrator II,2
101037,573600,Programmer II,2
101073,1055400,Assistant Media Planner,3
101107,569800,Biostatistician I,3
101116,446300,Accountant II,4
101143,101500,Financial Analyst,1
101161,106000,Chief Design Engineer,4
101189,100300,Marketing Manager,4
101198,100301,Sales Representative,2
101204,100302,Assistant Professor,2
101213,100303,Programmer I,4
101231,446200,Physical Therapy Assistant,4
101240,101700,Actuary,2
101268,446201,Software Test Engineer II,1
101286,101800,Desktop Support Technician,4
101295,787100,Software Test Engineer I,1
101301,569900,Community Outreach Specialist,3
101347,570500,Marketing Assistant,3
101365,1019300,Product Engineer,4
101435,101900,Librarian,1
101444,2525400,Speech Pathologist,4
101453,2199700,Safety Technician II,3
101462,526000,Electrical Engineer,1
101480,102000,Quality Engineer,3
101499,102100,Recruiting Manager,3
101505,102200,Structural Engineer,2
101514,101300,Occupational Therapist,2
101523,569300,VP Product Management,1
101541,102300,Librarian,3
101569,105900,Environmental Tech,4
101587,102400,Software Engineer I,4
101602,898800,GIS Technical Architect,3
101648,102600,Automation Specialist II,3
101657,2205500,Civil Engineer,2
101675,102800,Registered Nurse,1
101693,102900,Assistant Manager,3
101709,100400,Media Manager II,2
101736,569700,Senior Editor,1
101754,573302,Assistant Professor,4
101879,101600,Information Systems Manager,1
101897,103100,Software Consultant,1
101903,569702,Internal Auditor,2
101912,103300,Senior Financial Analyst,4
101949,103400,Quality Engineer,3
101958,2296000,Professor,4
101994,569200,VP Marketing,3
102030,103000,Executive Secretary,3
102049,103600,Administrative Assistant II,2
102067,569100,Speech Pathologist,1
102076,103800,Health Coach I,3
102094,105700,Media Manager I,1
102100,001057A1,Payment Adjustment Coordinator,3
102216,1123700,Budget/Accounting Analyst I,3
102234,104100,Product Engineer,2
102261,2270400,Editor,1
102270,104400,Nurse,2
102298,104600,Financial Advisor,1
102313,573400,Research Associate,3
102322,104800,Librarian,4
102331,104703,Occupational Therapist,2
102359,104900,Assistant Media Planner,3
102368,104700,Database Administrator I,3
102377,105000,Chemical Engineer,3
102395,2170600,Payment Adjustment Coordinator,4
102410,001052A1,Registered Nurse,4
102429,573300,Accountant III,4
102526,2326600,Paralegal,2
102553,1146200,Executive Secretary,1
102614,106300,Research Assistant IV,3
102632,106500,Registered Nurse,3
102669,106100,Chief Design Engineer,3
102711,3160300,Electrical Engineer,2
102845,2576900,VP Marketing,2
103246,2583300,Clinical Specialist,1
103361,011462A1,Internal Auditor,2
103440,106200,Programmer I,1
103501,2541000,Financial Analyst,4
103644,2295000,Human Resources Manager,3
103723,2174900,Automation Specialist II,2
103732,1293700,Nurse Practicioner,4
103741,886500,Staff Scientist,4
103778,107000,Developer III,1
103787,2199900,VP Product Management,3
103811,2317800,Recruiting Manager,3
103820,2280400,Account Executive,1
103893,2100600,Registered Nurse,1
103909,2100611,Nurse,2
103927,2100607,Accountant I,2
103945,3120300,Librarian,3
103954,886400,Developer I,3
103963,1084700,VP Marketing,1
104018,2200000,Speech Pathologist,2
104090,2218800,Human Resources Manager,2
104151,108100,Senior Sales Associate,4
104160,107100,Software Engineer II,2
104179,108300,Media Manager III,3
104188,2491500,Senior Cost Accountant,2
104230,1073900,Recruiter,1
104294,2561900,Data Coordiator,3
104346,728300,Speech Pathologist,2
104364,945100,Quality Control Specialist,1
104391,2280500,Analyst Programmer,1
104425,107200,Staff Accountant I,3
104434,1180800,Programmer Analyst IV,4
104443,1180801,Structural Analysis Engineer,2
104504,2582700,Engineer III,2
104522,2173300,Nurse,1
104531,832200,Cost Accountant,2
104568,1085800,Recruiting Manager,1
104577,107300,Cost Accountant,1
104708,107600,Computer Systems Analyst IV,2
104717,107400,Food Chemist,3
104805,2263100,Sales Representative,1
104911,1218400,Account Representative II,3
104957,945200,Staff Scientist,2
104984,2521500,Senior Financial Analyst,1
105048,008924A1,Assistant Media Planner,2
105075,008924A2,Editor,3
105109,892400,Mechanical Systems Engineer,3
105118,2071200,Legal Assistant,1
105127,2192300,Graphic Designer,4
105145,830300,Database Administrator I,1
105154,107700,Accounting Assistant I,2
105163,2361100,Account Coordinator,3
105172,2065200,General Manager,2
105206,1186400,Executive Secretary,3
105215,2100500,Senior Developer,4
105242,3004700,Developer II,1
105297,824600,Web Designer I,4
105330,108200,Registered Nurse,2
105349,1186200,Technical Writer,1
105367,193701,Operator,2
105419,1234300,Developer III,1
105428,107800,Information Systems Manager,1
105482,2623800,Senior Sales Associate,1
105516,2098800,Senior Cost Accountant,3
105525,726600,Senior Cost Accountant,4
105534,2217100,Junior Executive,2
105543,2217103,Clinical Specialist,3
105589,2065300,Pharmacist,2
105659,1168900,Teacher,4
105668,2177500,Data Coordiator,3
105677,2113800,Programmer I,1
105710,2187401,Desktop Support Technician,3
105747,830400,Research Assistant III,4
105792,2146600,VP Sales,4
105880,2181300,Clinical Specialist,3
105899,711300,Associate Professor,3
105987,446700,VP Marketing,3
106023,1228200,VP Product Management,1
106041,822100,Administrative Officer,1
106050,3081200,Research Associate,4
106102,2171500,Engineer III,2
106111,2220300,Quality Engineer,2
106148,107900,Staff Scientist,4
106245,110100,Nurse,2
106263,110900,Administrative Officer,2
106281,3065100,Office Assistant I,2
106306,108700,Senior Financial Analyst,3
106315,3005100,Director of Sales,1
106342,108800,Financial Analyst,4
106351,3023400,Administrative Assistant I,2
106360,2363500,Analyst Programmer,3
106397,110800,Programmer Analyst I,2
106412,108600,Senior Editor,4
106449,109001,Speech Pathologist,2
106458,109000,Occupational Therapist,2
106467,108900,Database Administrator III,4
106476,524900,Librarian,2
106485,108500,Actuary,1
106494,2538500,Civil Engineer,2
106546,3105200,Administrative Officer,2
106607,2260400,Assistant Media Planner,3
106625,2052200,Administrative Assistant I,4
106704,109200,Web Designer IV,3
106713,109300,Financial Analyst,2
106795,2220900,Senior Developer,3
106801,525000,Data Coordiator,2
106810,109500,Analyst Programmer,2
106829,704400,Account Executive,2
106838,3116800,Senior Sales Associate,4
106847,704300,Project Manager,3
106883,1226000,Quality Control Specialist,2
106892,2272400,Data Coordiator,3
106908,3124900,Research Nurse,3
106935,531900,Technical Writer,1
106944,2211800,Assistant Professor,1
106980,1210500,Sales Representative,3
106999,2073500,Information Systems Manager,4
107017,2138800,Engineer III,4
107035,109701,Senior Quality Engineer,3
107044,109700,Media Manager II,1
107053,2343900,Graphic Designer,4
107071,109800,Community Outreach Specialist,4
107080,109900,Media Manager III,3
107099,3007100,Chemical Engineer,3
107123,2330800,Paralegal,4
107141,110000,Media Manager I,4
107211,2525800,Legal Assistant,2
107220,2341700,Compensation Analyst,1
107266,3001300,Health Coach I,4
107275,2287400,Dental Hygienist,4
107293,1074100,Recruiter,2
107318,2348200,Business Systems Development Analyst,4
107327,1286000,Editor,1
107363,2559600,Web Developer III,3
107442,2284200,Statistician III,4
107460,1226100,VP Product Management,1
107479,2343100,Mechanical Systems Engineer,4
107488,2073700,Tax Accountant,1
107512,110200,Clinical Specialist,4
107521,997600,VP Quality Control,2
107549,2087000,Assistant Professor,3
107558,109400,Engineer I,1
107585,524500,Assistant Manager,3
107600,110300,Director of Sales,3
107619,110400,Budget/Accounting Analyst II,2
107637,570700,Payment Adjustment Coordinator,1
107646,2160000,Junior Executive,1
107655,2202400,Analog Circuit Design manager,3
107664,2075300,Account Representative II,4
107673,2120500,Senior Quality Engineer,3
107725,573200,Cost Accountant,4
107734,110401,Clinical Specialist,3
107743,2111100,Executive Secretary,4
107789,792100,Account Representative III,1
107831,2569600,Teacher,4
107840,110500,Desktop Support Technician,3
107877,110600,Community Outreach Specialist,2
107886,2339800,Electrical Engineer,3
107947,426900,Librarian,3
107974,2074600,Electrical Engineer,3
107983,110700,Structural Analysis Engineer,1
107992,773800,Quality Control Specialist,3
108092,111000,Accounting Assistant I,4
108232,753100,Cost Accountant,3
108250,2120900,Senior Developer,3
108287,3098700,Administrative Assistant I,1
108348,2342400,Nurse,2
108393,760500,Pharmacist,1
108649,2258600,Dental Hygienist,2
108667,672000,Dental Hygienist,4
108807,111100,Clinical Specialist,2
108852,2106900,Tax Accountant,2
108861,112000,Statistician I,1
108870,2222000,Physical Therapy Assistant,4
108977,1307400,Software Engineer IV,1
108995,927900,Project Manager,1
109013,2113601,Junior Executive,4
109040,2241800,Account Representative I,1
109068,3062200,Accountant III,1
109086,2099200,Web Designer IV,4
109208,123200,Food Chemist,2
109332,1206100,Geological Engineer,3
109350,111300,Assistant Manager,2
109651,111600,Analog Circuit Design manager,2
109721,902200,Data Coordiator,2
109730,2553500,Paralegal,2
109749,2553100,Operator,4
109785,111700,Operator,4
109819,111800,Media Manager II,2
109891,2180600,Nurse,4
109907,111900,Structural Analysis Engineer,3
109934,705000,Sales Representative,4
110051,112100,Sales Associate,4
110097,112200,Analog Circuit Design manager,3
110103,1294400,Staff Scientist,4
110176,2065500,Senior Financial Analyst,2
110185,112300,Civil Engineer,4
110194,2543400,Accountant I,2
110219,716400,Media Manager I,4
110246,807300,GIS Technical Architect,3
110307,2237200,Senior Developer,3
110316,1215400,Account Executive,2
110325,1256201,Administrative Officer,2
110334,112400,Actuary,1
110361,112500,Community Outreach Specialist,1
110370,112700,Sales Representative,2
110398,394700,Help Desk Technician,2
110404,113100,Recruiting Manager,4
110413,113300,Web Developer III,3
110422,114300,Nuclear Power Engineer,2
110440,2511100,Professor,2
110459,1001300,Legal Assistant,4
110468,1111700,Accounting Assistant IV,1
110477,1188100,Mechanical Systems Engineer,2
110486,799300,Research Assistant IV,3
110495,115700,Geological Engineer,2
110510,114200,Chemical Engineer,1
110529,114400,Associate Professor,4
110538,114600,Computer Systems Analyst I,2
110547,114100,Account Coordinator,2
110556,114700,Marketing Assistant,4
110565,113700,Chemical Engineer,4
110574,113800,Dental Hygienist,4
110583,113900,Analog Circuit Design manager,3
110592,114000,Geologist I,1
110608,115300,Statistician II,1
110617,115000,Programmer III,1
110635,131200,Quality Engineer,4
110644,131300,Help Desk Operator,2
110653,131400,Librarian,1
110662,131500,Account Executive,1
110671,131600,Recruiter,2
110680,131700,Data Coordiator,2
110699,131900,Biostatistician IV,1
110705,132000,Account Coordinator,2
110714,132100,Recruiting Manager,2
110778,2267600,Occupational Therapist,1
110875,2065700,Design Engineer,1
110893,2515500,Marketing Manager,3
110918,884400,Developer I,4
110945,2110800,Tax Accountant,4
